GENESIS-Tabelle: 12411-001
Bevölkerung: Gemeinden, Stichtage (letzten 6);;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;
Bevölkerung (Anzahl);;;;;;;
;;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016
09;Bayern;12443372;12519571;12604244;12691568;12843514;12930751
091;  Oberbayern;4363176;4415649;4469342;4519979;4588944;4633323
09161;    Ingolstadt (Krfr.St);126076;127886;129136;131002;132438;133639
09162;    München, Landeshauptstadt;1364920;1388308;1407836;1429584;1450381;1464301
09163;    Rosenheim (Krfr.St);59543;59935;60464;60889;61844;62672
09171;    Altötting (Lkr);106342;106515;106965;107465;108485;109422
09171111;      Altötting, St;12438;12521;12559;12633;12750;12808
09171112;      Burghausen, St;17544;17584;17715;17824;18259;18431
09171113;      Burgkirchen a.d.Alz;10058;10039;10141;10202;10257;10361
09171114;      Emmerting;4081;4068;4085;4098;4130;4138
09171115;      Erlbach;1165;1180;1180;1174;1171;1161
09171116;      Feichten a.d.Alz;1189;1188;1184;1197;1157;1178
09171117;      Garching a.d.Alz;8512;8516;8489;8494;8500;8550
09171118;      Haiming;2438;2456;2451;2443;2421;2442
09171119;      Halsbach;953;924;956;961;948;941
09171121;      Kastl;2650;2658;2656;2678;2725;2727
09171122;      Kirchweidach;2279;2248;2293;2283;2323;2438
09171123;      Marktl, M;2642;2624;2637;2665;2677;2700
09171124;      Mehring;2226;2248;2275;2328;2403;2473
09171125;      Neuötting, St;8379;8424;8459;8471;8588;8601
09171126;      Perach;1195;1221;1228;1255;1240;1240
09171127;      Pleiskirchen;2373;2367;2385;2390;2407;2411
09171129;      Reischach;2586;2578;2588;2544;2539;2545
09171130;      Stammham;1018;1009;1001;991;985;994
09171131;      Teising;1854;1872;1904;1902;1913;1920
09171132;      Töging a.Inn, St;9119;9171;9101;9124;9196;9286
09171133;      Tüßling, M;3211;3238;3240;3241;3243;3251
09171134;      Tyrlaching;950;933;935;945;948;947
09171135;      Unterneukirchen;2873;2854;2906;2957;2989;3070
09171137;      Winhöring;4609;4594;4597;4665;4716;4809
