GENESIS-Tabelle: 13111-001;;;;;;;
Sozialversicherungspflichtig Beschäftigte: Gemeinden,;;;;;;;
Beschäftigte am Arbeitsort/Beschäftigte am Wohnort,;;;;;;;
Stichtag (letzte 6);;;;;;;
Beschäftigungsstatistik;;;;;;;
;;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort
;;30.06.2011;30.06.2012;30.06.2013;30.06.2014;30.06.2015;30.06.2016
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;4737164;4870334;4952733;5065523;5184918;5308747
091;  Oberbayern;1749184;1808380;1854240;1906447;1963877;2023661
09161;    Ingolstadt (Krfr.St);85571;88959;91736;95193;99872;103718
09162;    München, Landeshauptstadt;709335;735650;755782;776491;797186;821971
09163;    Rosenheim (Krfr.St);30908;31243;31741;32622;33433;34647
09171;    Altötting (Lkr);41861;42751;43134;43858;44265;44756
09171111;      Altötting, St;7536;7533;7420;7456;7649;7419
09171112;      Burghausen, St;17140;17509;17560;17449;17337;17450
09171113;      Burgkirchen a.d.Alz;4877;5023;5140;5253;5334;5230
09171114;      Emmerting;269;282;278;289;288;298
09171115;      Erlbach;68;55;53;58;60;71
09171116;      Feichten a.d.Alz;75;88;86;87;87;97
09171117;      Garching a.d.Alz;1231;1389;1423;1481;1414;1423
09171118;      Haiming;291;297;308;335;357;373
09171119;      Halsbach;62;74;76;73;76;77
09171121;      Kastl;313;308;342;356;358;374
09171122;      Kirchweidach;380;405;407;545;519;572
09171123;      Marktl, M;479;497;524;535;568;586
09171124;      Mehring;498;527;577;588;684;807
09171125;      Neuötting, St;2884;2910;2892;3064;3006;3048
09171126;      Perach;174;189;198;191;193;198
09171127;      Pleiskirchen;301;322;300;309;348;353
09171129;      Reischach;310;310;330;387;397;416
09171130;      Stammham;85;71;73;78;78;71
09171131;      Teising;466;455;450;495;504;575
09171132;      Töging a.Inn, St;2291;2371;2259;2328;2389;2411
09171133;      Tüßling, M;532;535;585;599;606;640
09171134;      Tyrlaching;80;88;80;77;70;77
09171135;      Unterneukirchen;665;627;768;795;835;886
09171137;      Winhöring;854;886;1005;1030;1108;1304
09172;    Berchtesgadener Land (Lkr);31197;31814;31987;32818;33485;34237
09172111;      Ainring;2441;2534;2520;2671;2731;2809
09172112;      Anger;646;688;680;707;751;753
09172114;      Bad Reichenhall, GKSt;6786;6873;6912;7018;6935;7021
09172115;      Bayerisch Gmain;1152;1146;1148;1214;1256;1296
09172116;      Berchtesgaden, M;3213;3218;3308;3297;3289;3275
09172117;      Bischofswiesen;1736;1765;1744;1808;1812;1906
09172118;      Freilassing, St;7372;7379;7329;7422;7731;7929
09172122;      Laufen, St;1205;1286;1244;1360;1360;1442
09172124;      Marktschellenberg, M;239;264;276;266;287;322
09172128;      Piding;1467;1521;1531;1589;1674;1754
09172129;      Ramsau b.Berchtesgaden;458;466;476;486;503;515
09172130;      Saaldorf-Surheim;1024;1159;1230;1324;1375;1402
09172131;      Schneizlreuth;307;309;316;324;325;320
09172132;      Schönau a.Königssee;1672;1712;1742;1788;1838;1888
09172134;      Teisendorf, M;1479;1494;1531;1544;1618;1605
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);32896;33909;34325;35073;35459;35746
09173111;      Bad Heilbrunn;843;871;886;938;959;975
09173112;      Bad Tölz, St;7021;7285;7316;7410;7551;7645
09173113;      Benediktbeuern;640;701;697;691;712;742
09173115;      Bichl;241;236;250;254;266;287
09173118;      Dietramszell;845;866;870;906;932;958
09173120;      Egling;776;804;833;877;910;897
09173123;      Eurasburg;601;603;601;618;638;649
09173124;      Gaißach;1165;1211;1210;1213;1237;1260
09173126;      Geretsried, St;7159;7428;7652;7838;7933;8005
09173127;      Greiling;144;135;142;138;134;135
09173130;      Icking;364;376;372;401;464;506
09173131;      Jachenau;79;78;78;82;81;89
09173133;      Kochel a.See;969;965;1018;1073;1045;1049
09173134;      Königsdorf;406;452;507;535;548;584
09173135;      Lenggries;2095;2118;2069;2008;1833;1820
09173137;      Münsing;698;746;766;787;816;822
09173140;      Reichersbeuern;264;245;268;279;282;253
09173141;      Sachsenkam;341;355;345;375;384;382
09173142;      Schlehdorf;109;117;120;133;135;122
09173145;      Wackersberg;352;352;367;360;395;366
09173147;      Wolfratshausen, St;7784;7965;7958;8157;8204;8200
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);33007;34788;35793;37234;38492;39528
09174111;      Altomünster, M;1109;1154;1159;1263;1308;1388
09174113;      Bergkirchen;2830;3090;3525;3910;4154;4290
09174115;      Dachau, GKSt;12927;13644;13845;14152;14687;15223
09174118;      Erdweg;780;796;785;812;815;828
09174121;      Haimhausen;705;765;749;806;827;883
09174122;      Hebertshausen;752;738;714;724;741;775
09174126;      Karlsfeld;4857;5215;5431;5610;5690;5454
09174131;      Markt Indersdorf, M;1604;1668;1745;1809;1905;1935
09174135;      Odelzhausen;1401;1475;1520;1631;1664;1790
09174136;      Petershausen;880;948;971;967;960;989
09174137;      Pfaffenhofen a.d.Glonn;187;212;218;259;276;312
09174141;      Röhrmoos;2089;2147;2206;2266;2297;2332
09174143;      Schwabhausen;616;670;708;691;716;751
09174146;      Sulzemoos;575;534;464;502;562;666
09174147;      Hilgertshausen-Tandern;431;461;462;483;470;492
09174150;      Vierkirchen;922;962;985;1034;1049;1037
09174151;      Weichs;342;309;306;315;371;383
09175;    Ebersberg (Lkr);33200;33625;34275;35380;37617;38952
09175111;      Anzing;590;840;892;940;1019;1047
09175112;      Aßling;536;554;549;561;564;588
09175113;      Baiern;193;196;204;204;238;220
09175114;      Bruck;69;73;83;87;85;93
09175115;      Ebersberg, St;4733;4771;4829;5027;5192;5404
09175116;      Egmating;231;227;258;245;175;209
09175118;      Forstinning;1353;1430;1429;1503;1576;1579
09175119;      Frauenneuharting;179;180;182;180;197;185
09175121;      Glonn, M;1408;1390;1445;1432;1544;1501
09175122;      Grafing b.München, St;2476;2480;2606;2687;2708;2730
09175123;      Hohenlinden;771;816;893;927;1054;1032
09175124;      Kirchseeon, M;1841;1826;1847;1905;2124;2132
09175127;      Markt Schwaben, M;4018;4220;4263;4457;4652;4935
09175128;      Moosach;356;402;442;501;520;536
09175131;      Oberpframmern;440;502;488;475;529;562
09175132;      Vaterstetten;4743;4899;4960;5084;5884;6134
09175133;      Pliening;1101;1081;1006;1080;1144;1191
09175135;      Poing;5504;5302;5475;5536;5729;6142
09175136;      Emmering;74;77;83;97;99;114
09175137;      Steinhöring;1084;1110;1083;1105;1095;1058
09175139;      Zorneding;1500;1249;1258;1347;1489;1560
09175444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09176;    Eichstätt (Lkr);31571;32508;34238;35381;36826;38539
09176111;      Adelschlag;172;154;165;171;177;166
09176112;      Altmannstein, M;518;514;534;586;617;633
09176114;      Beilngries, St;2615;2720;2822;2948;3067;3176
09176116;      Böhmfeld;144;139;134;137;147;141
09176118;      Buxheim;433;432;412;440;432;439
09176120;      Denkendorf;1229;1263;1305;1334;1236;1414
09176121;      Dollnstein, M;334;399;426;493;490;529
09176122;      Egweil;60;55;61;75;81;95
09176123;      Eichstätt, GKSt;7071;7151;7235;7330;7430;8001
09176124;      Eitensheim;220;230;231;232;247;253
09176126;      Gaimersheim, M;7292;7564;8728;9065;9913;10383
09176129;      Großmehring;1118;1128;1149;1260;1271;1684
09176131;      Hepberg;312;314;335;370;391;393
09176132;      Hitzhofen;147;139;140;145;146;150
09176137;      Kinding, M;784;823;856;926;1005;1040
09176138;      Kipfenberg, M;1364;1446;1499;1540;1527;1541
09176139;      Kösching, M;2185;2207;2263;2312;2431;2314
09176143;      Lenting;1119;1188;1196;1212;1288;1252
09176147;      Mindelstetten;151;144;158;158;160;188
09176148;      Mörnsheim, M;101;134;130;131;129;131
09176149;      Nassenfels, M;149;163;161;173;197;217
09176150;      Oberdolling;476;490;486;462;443;436
09176153;      Pförring, M;723;746;780;828;832;838
09176155;      Pollenfeld;486;527;524;507;522;550
09176160;      Schernfeld;376;392;378;383;384;399
09176161;      Stammham;337;367;397;379;404;392
09176164;      Titting, M;561;576;587;606;635;613
09176165;      Walting;353;353;352;361;359;302
09176166;      Wellheim, M;212;223;238;233;244;236
09176167;      Wettstetten;529;527;556;584;621;633
09176444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09177;    Erding (Lkr);31582;36687;37120;38316;39605;43137
09177112;      Berglern;190;191;209;211;211;224
09177113;      Bockhorn;416;413;420;436;421;423
09177114;      Buch a.Buchrain;81;95;98;118;124;131
09177115;      Dorfen, St;2938;3077;3091;3178;3336;3455
09177116;      Eitting;573;1167;1216;1353;1412;1484
09177117;      Erding, GKSt;12100;12506;12748;13090;13478;13697
09177118;      Finsing;577;690;880;911;999;993
09177119;      Forstern;636;709;581;567;565;584
09177120;      Fraunberg;307;326;335;354;384;420
09177121;      Hohenpolding;188;185;197;189;227;238
09177122;      Inning a.Holz;93;96;106;110;108;111
09177123;      Isen, M;927;959;943;907;922;967
09177124;      Kirchberg;167;172;173;170;167;130
09177126;      Langenpreising;188;198;221;240;255;278
09177127;      Lengdorf;181;191;193;228;276;275
09177130;      Moosinning;746;789;864;900;877;855
09177131;      Neuching;321;324;384;377;399;409
09177133;      Oberding;4633;8089;7745;8078;8427;11270
09177134;      Ottenhofen;114;128;116;130;194;215
09177135;      Pastetten;563;470;456;494;425;369
09177137;      Sankt Wolfgang;1047;1076;1127;1134;1126;1163
09177138;      Steinkirchen;160;140;156;161;168;198
09177139;      Taufkirchen (Vils);2884;2979;3126;3160;3247;3306
09177142;      Walpertskirchen;124;122;126;140;143;141
09177143;      Wartenberg, M;992;1096;1072;1079;1116;1196
09177144;      Wörth;436;499;537;601;598;605
09178;    Freising (Lkr);76649;74569;76017;77172;78401;78230
09178113;      Allershausen;2014;2102;2252;1948;2067;2265
09178115;      Attenkirchen;321;356;366;402;425;470
09178116;      Au i.d.Hallertau, M;1182;1200;1194;1238;1308;1366
09178120;      Eching;6836;6790;7172;7379;6469;6104
09178122;      Rudelzhausen;299;307;311;329;366;372
09178123;      Fahrenzhausen;931;1069;1040;1077;1152;1188
09178124;      Freising, GKSt;40595;35665;36555;37698;38496;38041
09178125;      Gammelsdorf;263;258;215;222;224;227
09178129;      Haag a.d.Amper;239;217;225;227;241;245
09178130;      Hallbergmoos;8643;11144;11374;10871;11353;11188
