GENESIS-Tabelle: 33111-001r
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nutzung (nach ALKIS-Nutzungsarten), Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(ab 2014);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.12.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten)
;;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS
;;Insgesamt;11000 Wohnbaufläche;12100 Industrie und Gewerbe;12200 Handel und Dienstleistung;12300 Versorgungsanlage;12400 Entsorgung;13000 Halde;14000 Bergbaubetrieb;15000 Tagebau, Grube, Steinbruch;16000 Fläche gemischter Nutzung;17000 Fläche besonderer funktionaler Prägung;18100 Sportanlage;18200 Freizeitanlage;18300 Erholungsfläche;18400 Grünanlage;19000 Friedhof;21000 Straßenverkehr;22000 Weg;23000 Platz;24000 Bahnverkehr;25000 Flugverkehr;26000 Schiffsverkehr;31100 Ackerland;31200 Grünland;31300 Gartenland;31400 Weingarten;31500 Obstplantage;32000 Wald;33000 Gehölz;34000 Heide;35000 Moor;36000 Sumpf;37000 Unland, Vegetationslose Fläche;41000 Fließgewässer;42000 Hafenbecken;43000 Stehendes Gewässer
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
09;Bayern;7054199,97;210452,41;47142,18;22592,55;11288,11;6285,77;357,80;3,17;15491,24;118300,81;29660,13;25680,16;3066,69;7824,51;18453,83;4147,79;171510,09;130955,81;5341,44;16314,83;5491,02;199,82;2077514,96;1201955,54;4198,12;6299,88;4932,31;2479831,77;90513,50;2197,30;13104,97;2601,37;199750,27;51106,82;165,80;69467,21
091;  Oberbayern;1752926,54;60455,24;11686,15;5988,07;2400,69;1330,01;65,09;0,47;4499,25;31061,28;7671,68;8078,58;784,30;2178,79;5181,86;1317,20;39651,65;23813,56;1628,18;4544,44;3538,49;6,57;434820,29;360694,66;932,93;0,36;550,41;589015,82;25023,86;1734,49;11288,92;1428,71;61191,78;15556,31;6,21;34800,23
09161;    Ingolstadt (Krfr.St);13335,22;1541,51;597,28;159,97;128,48;20,00;-;-;14,72;290,40;305,70;187,94;18,92;80,15;246,19;38,56;803,79;244,49;72,15;126,94;5,45;-;4586,29;792,92;1,92;-;2,11;1735,76;325,04;4,00;0,36;-;484,67;258,90;-;260,61
09162;    München, Landeshauptstadt;31070,58;8452,75;1246,95;1210,50;49,02;102,68;1,17;-;48,92;1180,78;1421,39;682,60;126,44;460,20;2479,23;419,60;3850,95;313,77;247,32;683,48;1,76;-;3504,74;888,46;54,61;-;20,03;1462,09;659,57;291,05;0,70;-;792,18;219,79;0,00;197,87
09163;    Rosenheim (Krfr.St);3722,20;621,23;104,92;85,70;7,69;10,20;-;-;3,79;137,41;103,14;33,41;9,54;9,54;36,52;9,63;224,56;53,60;12,69;56,60;-;-;583,20;783,83;0,66;-;0,11;535,95;105,76;0,24;-;-;75,34;56,03;-;60,92
09171;    Altötting (Lkr);56928,53;1922,88;634,06;137,71;234,50;66,17;2,73;-;190,39;1429,37;174,15;238,14;22,10;26,68;49,55;19,19;1482,23;690,76;50,11;188,67;3,09;-;21514,50;9293,86;14,71;0,12;10,43;16322,15;475,26;-;1,49;-;643,13;935,34;-;155,05
09171111;      Altötting, St;2306,70;155,54;21,97;23,02;7,66;0,11;-;-;65,60;69,17;45,58;7,66;-;4,00;3,01;2,89;105,85;29,40;9,74;6,33;-;-;1060,51;163,73;-;-;-;397,03;29,16;-;-;-;39,47;54,31;-;4,96
