GENESIS-Tabelle: 33111-001r-2015
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nutzung (nach ALKIS-Nutzungsarten), Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(ab 2015);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten)
;;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS;Art der tatsächlichen Nutzung nach ALKIS
;;Insgesamt;11000 Wohnbaufläche;12100 Industrie und Gewerbe;12200 Handel und Dienstleistung;12300 Versorgungsanlage;12400 Entsorgung;13000 Halde;14000 Bergbaubetrieb;15000 Tagebau, Grube, Steinbruch;16000 Fläche gemischter Nutzung;17000 Fläche besonderer funktionaler Prägung;18100 Sportanlage;18200 Freizeitanlage;18300 Erholungsfläche;18400 Grünanlage;19000 Friedhof;21000 Straßenverkehr;22000 Weg;23000 Platz;24000 Bahnverkehr;25000 Flugverkehr;26000 Schiffsverkehr;31100 Ackerland;31200 Grünland;31300 Gartenland;31400 Weingarten;31500 Obstplantage;32000 Wald;33000 Gehölz;34000 Heide;35000 Moor;36000 Sumpf;37000 Unland, Vegetationslose Fläche;41000 Fließgewässer;42000 Hafenbecken;43000 Stehendes Gewässer
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
09;Bayern;7054201,14;212131,60;47383,30;23284,19;11597,65;6296,76;347,41;3,17;15543,69;118829,24;30120,20;25703,15;3147,50;7835,75;18641,76;4154,03;172249,94;130808,87;5401,16;16211,40;5402,81;202,86;2081868,13;1193440,59;4392,12;6312,86;4943,29;2480338,18;91386,14;2117,01;12969,85;2600,17;197701,88;50006,55;167,35;70660,56
091;  Oberbayern;1752927,01;60731,18;11832,12;6142,43;2459,36;1322,73;61,20;0,47;4479,30;31148,75;7754,28;8133,33;815,60;2168,89;5256,96;1318,88;39804,59;23750,31;1642,41;4531,86;3463,12;6,16;437012,80;357505,92;944,05;0,34;570,04;589336,48;25163,43;1655,24;11200,72;1414,51;60903,74;15555,17;6,82;34833,83
09161;    Ingolstadt (Krfr.St);13335,22;1559,15;601,79;163,17;128,53;20,00;-;-;14,77;285,92;307,15;186,38;18,97;86,80;241,44;38,56;805,32;240,65;72,24;126,83;5,45;-;4573,69;798,89;1,92;-;1,63;1735,51;328,10;4,01;0,36;-;468,11;258,80;-;261,07
09162;    München, Landeshauptstadt;31070,59;8429,56;1216,57;1241,98;50,00;102,68;1,17;-;48,92;1173,98;1414,59;679,91;125,39;461,95;2509,06;419,60;3853,16;314,82;241,02;681,87;1,76;-;3513,19;869,20;53,51;-;17,35;1460,58;647,00;280,83;0,70;-;842,59;219,79;0,00;197,86
09163;    Rosenheim (Krfr.St);3722,20;620,26;107,18;84,59;7,79;10,20;-;-;3,79;138,24;102,86;33,52;9,54;9,54;36,64;9,63;224,70;53,58;11,85;56,59;-;-;579,19;785,38;0,66;-;0,11;535,65;106,32;0,24;-;-;76,91;56,03;-;61,22
09171;    Altötting (Lkr);56928,55;1955,92;643,05;166,95;241,41;62,76;2,73;-;200,62;1416,61;174,25;239,95;21,82;26,37;52,05;19,12;1495,98;688,43;48,97;188,37;3,09;-;21543,71;9184,84;23,55;0,12;13,34;16307,77;478,15;-;1,49;-;634,68;936,01;-;156,43
09171111;      Altötting, St;2306,70;158,25;21,97;23,31;7,70;0,11;-;-;68,42;68,73;45,53;7,66;-;4,00;3,06;2,89;106,18;29,63;9,73;6,29;-;-;1072,26;148,57;-;-;-;397,94;28,79;-;-;-;36,11;54,49;-;5,06
