GENESIS-Tabelle: Temporär
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;
Nutzung (6)/(10)/(17), Jahr;;;;;;;;;;;;;;;;;;;
(von 2011 bis 2015);;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;
31.12.2013;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
;;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung
;;Insgesamt;Wohnen;Gewerbe, Industrie;sonstige Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Abbauland;Grünanlage;sonstige Erholungsfläche;Straße, Weg, Platz;sonstige Verkehrsfläche;Moor;Heide;Landwirtschaftsfläche (ohne Moor, Heide);Waldfläche;Wasserfläche;Unland;Friedhof;Flächen anderer Nutzung (ohne Unland, Friedhof)
;;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar
09;Bayern;705501488;20912403;4520071;17338035;1953064;1562685;2042526;3008624;30729435;2206982;1317306;191747;329996050;256979883;12338962;19993993;409722;-
091;  Oberbayern;175301745;6006913;1113786;4550743;429657;455937;586569;925588;6489857;811932;1126754;140819;79799716;61391146;5184788;6155525;132015;-
09161;    Ingolstadt (Krfr.St);1333660;152865;59258;80692;15441;1812;23835;21645;111018;13220;82;517;544616;204467;51508;48821;3863;-
09162;    München, Landeshauptstadt;3106954;846524;123510;411986;19099;4892;258192;84163;440560;68691;68;29115;444031;211831;41683;80624;41985;-
09163;    Rosenheim (Krfr.St);372249;62413;10470;32777;2026;425;4246;4191;29028;6237;-;-;136976;64663;11700;6067;1030;-
09171;    Altötting (Lkr);5693500;190968;62334;174363;31273;19291;5490;26120;221462;18435;150;-;3090289;1679179;109036;63192;1918;-
09171111;      Altötting, St;230750;15524;2053;14178;869;6563;304;766;14436;632;-;-;122649;42698;5929;3860;289;-
